country,lost_usd_bn,shortfall_usd_bn,commodities_hit,worst_commodity,worst_share
Chile,28.808419755405,28.808419755405,7,2836,0.45014750800561737
China,18.655643204272994,18.655643204272994,8,2825,0.6450481364944606
Dem. Rep. of the Congo,12.714933132065998,12.714933132065998,3,8105,0.43984079944143106
Japan,8.017275008316,8.017275008316,8,7403,0.07821292109716355
Russian Federation,7.320019537151,7.320019537151,8,7502,0.09594800056954075
Australia,6.5847351101800005,6.5847351101800005,8,7502,0.13446560541181177
USA,6.297026228909,6.297026228909,8,2836,0.12401347201981537
Canada,4.382092883772,4.382092883772,8,7502,0.14947531457824834
Germany,3.769933808441,3.769933808441,8,2504,0.04964948672296261
Kazakhstan,3.54746969287,3.54746969287,7,7403,0.042451129745592196
Netherlands,3.260904299572,3.260904299572,8,7502,0.0957104419819886
Poland,3.069041982989,3.069041982989,8,7403,0.03335734080420517
Peru,3.0407471053,3.0407471053,7,7403,0.03643859390698849
Rep. of Korea,2.971399237428,2.971399237428,8,2504,0.039058720945347555
Belgium,2.4692256356369997,2.4692256356369997,8,8105,0.02316916377467948
Norway,2.258066966217,2.258066966217,8,7502,0.10359608810617654
Türkiye,2.181221448136,2.181221448136,8,2836,0.0851325463008111
Finland,1.985914108572,1.985914108572,8,7502,0.0666367628959511
Philippines,1.8984711195850001,1.8984711195850001,7,7403,0.02215320143267249
Bulgaria,1.7737845789499997,1.7737845789499997,8,7403,0.019347161722815018
Malaysia,1.748747832464,1.748747832464,8,2846,0.14723224781760996
South Africa,1.722435568285,1.722435568285,8,7502,0.055695042324427076
Myanmar,1.498557845503,1.498557845503,3,2846,0.38585844588534085
France,1.4682156475320003,1.4682156475320003,8,2805,0.22710696490185175
Spain,1.4528284948580001,1.4528284948580001,8,2836,0.013789820228583757
United Kingdom,1.4287921229079998,1.4287921229079998,8,7502,0.052433961176688304
Indonesia,1.2509256985909998,1.2509256985909998,7,7403,0.014436448112708809
Austria,1.250402655602,1.250402655602,8,7403,0.01346271989448704
Congo,0.9775414453089999,0.9775414453089999,2,7403,0.011726301018370225
Zambia,0.970428780979,0.970428780979,5,7403,0.011594971300058534
Argentina,0.948512725029,0.948512725029,5,2836,0.04679826871443509
Sweden,0.923034897138,0.923034897138,8,7403,0.01028965991366739
Madagascar,0.8753001355279999,0.8753001355279999,3,2504,0.07082312103452836
India,0.8352784106499999,0.8352784106499999,8,2846,0.018877529324600368
Singapore,0.7956661273229999,0.7956661273229999,8,7502,0.017579955079662087
Thailand,0.696279449134,0.696279449134,8,2805,0.06600754203626999
Viet Nam,0.677925110842,0.677925110842,8,2805,0.07012977138799038
Pakistan,0.658088212317,0.658088212317,5,7403,0.0078094646792596315
Italy,0.5816630979190001,0.5816630979190001,8,2846,0.00921350724866522
Iran,0.5588010886620001,0.5588010886620001,4,7403,0.006646821442937774
