,betweenness,exports_usd,imports_usd,out_degree
China,0.5605981742472773,18655643204.273,49030938084.578,165
USA,0.21258408071748877,6297026228.909,11616185675.713001,134
Germany,0.18515775144138372,3769933808.441,8356121532.882,124
Türkiye,0.12063581037796284,2181221448.136,4175779599.252,161
Netherlands,0.10167761050608584,3260904299.572,3925112979.4240003,121
Poland,0.09669282511210761,3069041982.989,745917824.128,90
Russian Federation,0.09611226777706598,7320019537.151,294628650.786,28
India,0.08149823830877642,835278410.6500001,4997390836.045,147
Japan,0.07311018577834721,8017275008.316,5822689333.663,59
South Africa,0.0584160794362588,1722435568.285,467365017.969,78
Malaysia,0.05715486867392697,1748747832.464,2829838135.056,74
Spain,0.049907911595131325,1452828494.858,1824478992.471,133
Chile,0.04666479820627802,28808419755.405,345374749.473,43
Rep. of Korea,0.03010890454836643,2971399237.428,17776895338.7,81
Italy,0.025104099935938498,581663097.919,6486772279.688,112
Austria,0.02256165919282511,1250402655.602,1014362706.044,89
Australia,0.02184096732863549,6584735110.18,289091764.56,53
Canada,0.019438661114670082,4382092883.772,666734025.946,66
Singapore,0.016335682254964765,795666127.323,1249854805.872,63
Belgium,0.015635009609224856,2469225635.637,1776221445.493,122
United Kingdom,0.01511450992953235,1428792122.908,1323497677.964,100
Brazil,0.010750320307495195,325883920.114,2824776565.776,90
Denmark,0.00964926329276105,12997212.675999999,170371701.173,58
Czechia,0.008768417680973735,86089456.729,456586789.026,90
Ireland,0.007587283792440743,41581343.732,213405353.408,68
Thailand,0.007567264573991031,696279449.134,3754753819.388,52
Sweden,0.004324151185137732,923034897.138,1631223443.082,88
Indonesia,0.003223094170403587,1250925698.591,1297718624.301,41
Finland,0.00024023062139654066,1985914108.572,416864998.40500003,58
Anguilla,0.0,16506.769,2519975.84,1
Angola,0.0,26244259.0,5698132.656,1
Afghanistan,0.0,353943.58,347410.595,1
"Areas, nes",0.0,25460228.054,2688993.841,8
Bangladesh,0.0,10320024.019,261865571.979,4
Armenia,0.0,143327.636,420936.047,7
Mexico,0.0,412478733.724,2574847506.171,32
Argentina,0.0,948512725.029,153090296.382,18
Albania,0.0,5021.0,924598.846,1
Côte d'Ivoire,0.0,16542872.417,12973424.459,2
"China, Hong Kong SAR",0.0,24005455.783999998,70276025.521,25
Bunkers,0.0,0.0,66379.568,0
French Polynesia,0.0,0.0,43536.217,0
Ghana,0.0,3597666.073,15070187.467,4
Kenya,0.0,57105907.541,10088081.419,10
Myanmar,0.0,1498557845.503,32791893.276,3
Nauru,0.0,0.0,15104.973,0
Fiji,0.0,0.0,695645.157,0
France,0.0,1468215647.532,2550427703.489,30
Christmas Isds,0.0,0.0,5154.163,0
Norway,0.0,2258066966.217,152233222.673,30
