commodity,description,stage,total_usd_bn,suppliers,hhi,top1,top1_share,top3_share
2504,Natural graphite,sinks source from,0.489621593621,68,0.49902162109466036,China,0.6986954170444646,0.808027178344267
2504,Natural graphite,processors source from,0.103807123392,55,0.1329744348910914,China,0.2622163011994004,0.5138207988538729
2504,Natural graphite,sources source from,0.059650223,40,0.36958394965404584,Mozambique,0.5333893890053018,0.8910268952389332
2504,Natural graphite,Pooled,0.653078940013,79,0.34517842078701866,China,0.5670861143916657,0.7521139884838768
2805,"Rare earth metals, scandium and yttrium",sinks source from,1.219280513557,58,0.2640211422284726,China,0.3898985348712995,0.8079066672625448
2805,"Rare earth metals, scandium and yttrium",processors source from,0.11614256653200002,48,0.5137091438150045,China,0.687243009797,0.9333682108284754
2805,"Rare earth metals, scandium and yttrium",sources source from,0.051937998055,22,0.2891747503719084,Malaysia,0.3911327408015939,0.8654830522616301
2805,"Rare earth metals, scandium and yttrium",Pooled,1.387361078144,65,0.2621109732527979,China,0.4054303578477772,0.7892372652084375
2825,Metal oxides and hydroxides (incl. lithium hydroxide),sinks source from,13.471544686269002,79,0.6426147703373926,China,0.7960306092807825,0.9172817650141633
2825,Metal oxides and hydroxides (incl. lithium hydroxide),processors source from,1.7022758103270001,74,0.09557192234707418,Chile,0.20685412459650637,0.4381165936939068
2825,Metal oxides and hydroxides (incl. lithium hydroxide),sources source from,0.6490536932150002,58,0.09109939798641535,Chile,0.1466482948360185,0.4154661271878393
2825,Metal oxides and hydroxides (incl. lithium hydroxide),Pooled,15.822874189811,95,0.5052960620615419,China,0.7014949993579254,0.8417586187544662
2836,Carbonates (incl. lithium carbonate),sinks source from,14.506917353211,106,0.3731250389261905,Chile,0.5888366232896645,0.7847532996917611
2836,Carbonates (incl. lithium carbonate),processors source from,1.8188009752409997,85,0.10901566243979521,Türkiye,0.2187991032054892,0.491827596898264
2836,Carbonates (incl. lithium carbonate),sources source from,0.9690552511849999,71,0.1467992423489151,USA,0.3121768012536648,0.5663057008926248
2836,Carbonates (incl. lithium carbonate),Pooled,17.294773579637003,118,0.2987246137308185,Chile,0.5202715315826562,0.7094759092655054
2846,Rare earth compounds,sinks source from,2.2300678842060004,57,0.44186218655751397,Myanmar,0.6465729622905083,0.8267869007895553
2846,Rare earth compounds,processors source from,0.5202239495,50,0.4453581567800978,China,0.6522709085253293,0.8199461426775394
2846,Rare earth compounds,sources source from,0.020048592820999998,21,0.30495293835584997,Japan,0.4504278227218529,0.8745541500865021
2846,Rare earth compounds,Pooled,2.7703404265269995,64,0.31277124002107265,Myanmar,0.5204781275951781,0.788537531909965
7403,Refined copper,sinks source from,62.996578365797994,123,0.09330227967895542,Chile,0.2227438152261026,0.4385988202859278
7403,Refined copper,processors source from,10.372886107115999,82,0.09656720802229554,Chile,0.21135173463728876,0.44772668168302526
7403,Refined copper,sources source from,1.260761711348,67,0.27765925675500475,Germany,0.4662299501001835,0.7628908703942342
7403,Refined copper,Pooled,74.630226184262,133,0.08805909932587583,Chile,0.21739846834613263,0.4258317920272998
7502,Unwrought nickel,sinks source from,10.654263577380002,60,0.10656490265632941,Canada,0.17355288299125304,0.45979353383311544
7502,Unwrought nickel,processors source from,2.311656863162999,46,0.19703180233652418,Australia,0.38764834770973233,0.6158781677796146
7502,Unwrought nickel,sources source from,0.32802050810499994,36,0.1355032135789326,Norway,0.2507924209899303,0.5542628078906653
7502,Unwrought nickel,Pooled,13.293940948647998,70,0.10507813494504939,Australia,0.17370232282879558,0.461631038474571
8105,Cobalt mattes and articles,sinks source from,3.220966144208,66,0.5797388403203554,Dem. Rep. of the Congo,0.7573910655306977,0.8427643213115701
8105,Cobalt mattes and articles,processors source from,1.278866730553,67,0.0784759244867646,Canada,0.15070059366910152,0.3724650998146044
8105,Cobalt mattes and articles,sources source from,0.05373747022,35,0.29403487698450237,USA,0.5171069870099292,0.6947030369342906
8105,Cobalt mattes and articles,Pooled,4.553570344981,83,0.3042737509190164,Dem. Rep. of the Congo,0.536161289800649,0.6723457472256914
