reporter,reporter_name,commodity,imports_usd,exports_usd,ratio,role
156,China,2504,58684439.0,285471018.0,0.8294827590079444,source
276,Germany,2504,56862381.667,30769117.686,0.35111937959722517,processor
76,Brazil,2504,965784.0,22169012.0,0.9582540516026162,source
842,USA,2504,162901778.0,22034542.0,0.11914664463962514,sink
528,Netherlands,2504,12730182.02,18865783.498999998,0.5970946982979584,processor
124,Canada,2504,6349963.033,13530097.805,0.6805863380024331,processor
40,Austria,2504,9569391.639,8063732.657,0.4573059499631171,processor
392,Japan,2504,82039994.44700001,5767774.757,0.06568638298508618,sink
203,Czechia,2504,5522097.0,5594665.0,0.5032639000457148,processor
826,United Kingdom,2504,6813300.033,2952129.429,0.30230410659229645,processor
484,Mexico,2504,5959808.0,2669638.0,0.3093637760755441,processor
410,Rep. of Korea,2504,110404530.0,1736629.0,0.01548609819522197,sink
752,Sweden,2504,3773835.021,1146165.372,0.2329604228549906,sink
724,Spain,2504,6027948.979,1136899.751,0.1586774255595484,sink
792,Türkiye,2504,9271751.0,1043772.0,0.10118459335508244,sink
699,India,2504,34903036.411,996463.377,0.02775702677988523,sink
704,Viet Nam,2504,2154115.189,547370.0,0.20261817544985994,sink
616,Poland,2504,56020433.0,473059.0,0.008373690194261669,sink
380,Italy,2504,6618985.857,447335.967,0.06330534868659274,sink
56,Belgium,2504,1859048.0429999998,415295.269,0.18260007924432475,sink
764,Thailand,2504,3525078.798,372466.715,0.09556442991048147,sink
458,Malaysia,2504,1005064.9679999999,251693.65000000002,0.2002720700658844,sink
208,Denmark,2504,1061503.105,191194.02200000003,0.15262589645900898,sink
710,South Africa,2504,871935.779,183446.3,0.17381979820409665,sink
702,Singapore,2504,1202285.704,144691.611,0.10741948612549575,sink
36,Australia,2504,812216.7050000001,48524.737,0.05637550910439374,sink
152,Chile,2504,223217.517,25443.0,0.10232022480673922,sink
360,Indonesia,2504,3412964.0,24711.475,0.007188425777741571,sink
246,Finland,2504,1232365.096,23960.914,0.019072210405004668,sink
372,Ireland,2504,299506.002,3134.599,0.010357496613615305,sink
156,China,2805,23689426.0,541036207.0,0.9580514419468542,source
764,Thailand,2805,28248572.055,111017977.85,0.7971618305022302,source
276,Germany,2805,362659407.162,79665537.228,0.18010636351939158,sink
842,USA,2805,97579668.0,50841940.0,0.3425507962425525,processor
392,Japan,2805,368418728.416,15756495.061,0.04101382415657869,sink
528,Netherlands,2805,18562898.532,12583675.524,0.4040147562096291,processor
699,India,2805,89724951.429,3300229.338,0.03547673125479948,sink
826,United Kingdom,2805,51653645.779,3204710.127,0.058417903235949746,sink
124,Canada,2805,18800661.87,1782919.91,0.08661854525884172,sink
792,Türkiye,2805,8696817.0,1642376.0,0.15884953496854154,sink
702,Singapore,2805,51541864.861999996,639812.363,0.012261245652208912,sink
40,Austria,2805,1441428.382,605209.833,0.29570924092219203,sink
410,Rep. of Korea,2805,35350934.0,539727.0,0.015038090270892476,sink
56,Belgium,2805,8678360.885,484421.49500000005,0.05286838374087851,sink
724,Spain,2805,5914579.674,438918.43,0.06908295600555357,sink
710,South Africa,2805,3583288.892,343080.663,0.08737859699505539,sink
380,Italy,2805,9035428.757,327957.423,0.03502551498949283,sink
752,Sweden,2805,959363.3200000001,276433.11,0.22368822509060005,sink
458,Malaysia,2805,150919564.13300002,152000.047,0.0010061459800528292,sink
203,Czechia,2805,2994262.0,142566.0,0.04544909698587235,sink
36,Australia,2805,506119.61000000004,46055.948000000004,0.08340816128626975,sink
616,Poland,2805,11736609.0,42346.0,0.0035950557583418904,sink
372,Ireland,2805,218762.267,32474.820999999996,0.1292596616945345,sink
76,Brazil,2805,4887800.0,24035.0,0.004893283263790417,sink
152,Chile,2805,534789.638,20000.0,0.03604969997655219,sink
360,Indonesia,2805,21344874.0,12543.525,0.0005873146875232988,sink
208,Denmark,2805,236336.60700000002,9348.445,0.03805052413200946,sink
246,Finland,2805,2343436.724,1.081,4.612881117192697e-07,sink
484,Mexico,2805,3298639.0,0.0,0.0,sink
704,Viet Nam,2805,3799860.15,0.0,0.0,sink
156,China,2825,523739316.0,8386353265.0,0.9412195427557253,source
152,Chile,2825,7676651.834,1266952926.6,0.993977346859131,source
842,USA,2825,785541555.0,751916775.0,0.48906481582495964,processor
36,Australia,2825,20353847.397,390436804.499,0.9504520190441116,source
528,Netherlands,2825,157724570.341,363081451.926,0.6971529444793174,processor
276,Germany,2825,250256081.808,258485294.863,0.5080878157668722,processor
410,Rep. of Korea,2825,10555594389.0,233375696.0,0.021630952181845818,sink
392,Japan,2825,1684924011.399,220026518.576,0.11550248424503054,sink
76,Brazil,2825,29893223.0,202861859.0,0.8715679041542904,source
704,Viet Nam,2825,35074741.745,202806896.393,0.8525538077695075,source
56,Belgium,2825,87824307.888,155059388.708,0.6384100327899639,processor
710,South Africa,2825,32315913.239,107182001.72399999,0.768341245476168,source
616,Poland,2825,104834660.0,96885254.0,0.48029593151621114,processor
826,United Kingdom,2825,126460589.32100001,65469961.967,0.3411127698412095,processor
699,India,2825,327464545.523,65065405.394,0.1657590847322578,sink
702,Singapore,2825,96381392.131,50174919.145,0.3423593205106591,processor
380,Italy,2825,115750807.026,43709228.643,0.2741077315054015,sink
764,Thailand,2825,101414762.505,42395645.975,0.29480234722298315,sink
458,Malaysia,2825,40763057.323,36778219.808,0.47430505620723834,processor
724,Spain,2825,52489596.515,29620744.764000002,0.36074316952785107,processor
203,Czechia,2825,123610436.0,28594239.0,0.18786702182439535,sink
124,Canada,2825,119697232.492,22684068.365000002,0.15931915376853203,sink
752,Sweden,2825,203242707.301,19494896.003,0.08752404494715106,sink
792,Türkiye,2825,80658338.0,10090046.0,0.11118705981585303,sink
40,Austria,2825,16303978.088,5652669.066000001,0.25744682356796966,sink
360,Indonesia,2825,45786013.0,4570375.359999999,0.09076058686588459,sink
484,Mexico,2825,41499903.0,2970991.0,0.06680753933123089,sink
208,Denmark,2825,35378547.973000005,1934079.481,0.05183444889761206,sink
246,Finland,2825,14742259.65,1536149.679,0.09436730874332716,sink
372,Ireland,2825,5476755.312,107506.21399999999,0.01925164383857333,sink
152,Chile,2836,329125259.18499994,4240700936.42,0.9279786046345628,source
842,USA,2836,514337835.0,2292946229.0,0.8167845421858955,source
156,China,2836,6624527760.0,1629793541.0,0.19744731051389441,sink
792,Türkiye,2836,125592157.0,1517460425.0,0.9235616934138995,source
276,Germany,2836,432087935.286,565167587.179,0.5667229455716906,processor
410,Rep. of Korea,2836,2770079924.0,486322759.0,0.1493435567839446,sink
528,Netherlands,2836,413342114.16499996,251844113.137,0.3786069266023163,processor
724,Spain,2836,267588379.852,250310811.001,0.4833195637721086,processor
56,Belgium,2836,184797827.551,209221599.086,0.5309931057758492,processor
699,India,2836,520647138.756,196088166.715,0.27358519277369964,sink
826,United Kingdom,2836,305422306.10899997,134414404.727,0.3056006954751863,processor
616,Poland,2836,164904721.0,130434665.0,0.4416433133642392,processor
392,Japan,2836,1229756647.203,48679850.399000004,0.03807764444327911,sink
380,Italy,2836,326508036.07600003,48419443.44,0.12914349063585695,sink
36,Australia,2836,146245370.93800002,45600398.214999996,0.23769300942275645,sink
458,Malaysia,2836,249491198.848,44778031.071,0.15216688161152808,sink
764,Thailand,2836,294086037.78900003,42169609.12,0.12540937083924197,sink
372,Ireland,2836,30108828.666,28608794.436,0.4872267119243379,processor
702,Singapore,2836,20548862.612,25702870.992,0.5557169210577899,processor
76,Brazil,2836,543655347.0,18172039.0,0.03234452334083978,sink
203,Czechia,2836,124193621.0,15599657.0,0.11159089494989881,sink
124,Canada,2836,171852272.194,13780376.219999999,0.07423465827663488,sink
484,Mexico,2836,469098022.0,13176042.0,0.027320652267130832,sink
